Wall time,Step,Value
1570091736.8044193,8498,0.9999997019767761
1570091742.382977,8508,0.9999997019767761
1570091792.8970282,8601,0.9999997615814209
1570091945.5502918,8878,0.9999998807907104
1570091972.324969,8928,0.9999998807907104
1570091976.194356,8935,0.9999998807907104
1570092008.009537,8993,0.9999999403953552
1570092154.0791426,9260,0.9999999403953552
1570092267.5194855,9468,1.0
1570092315.3872716,9554,1.0
1570092321.7979128,9567,1.0
1570092380.9488275,9680,1.0
1570092391.068839,9698,1.0
1570092468.0735388,9843,1.0
1570092502.3939707,9907,1.0
1570092703.8331125,10276,1.0
1570092707.8855178,10283,1.0
1570092770.8188105,10399,1.0
1570092813.0280309,10479,1.0
1570092837.0164297,10522,1.0
1570092881.4848757,10607,1.0
1570092964.3891656,10757,1.0
1570092965.025229,10758,1.0
1570092977.3914654,10780,1.0
1570093014.2151475,10850,1.0
1570093042.8470106,10902,1.0
1570093044.393165,10905,1.0
1570093074.4931748,10966,1.0
1570093078.8416097,10974,1.0
1570093105.8183072,11020,1.0
1570093149.7346983,11102,1.0
1570093160.444769,11121,1.0
1570093324.2681499,11419,1.0
1570093350.402763,11472,1.0
1570093361.320855,11492,1.0
1570093379.3066533,11523,1.0
1570093383.9291153,11532,1.0
1570093403.7360957,11566,1.0
1570093471.3758593,11685,1.0
1570093516.1213334,11759,1.0
1570093632.289949,11969,1.0
1570093634.970217,11974,1.0
1570093727.4764667,12138,1.0
1570093742.261945,12164,1.0
1570093805.6622844,12290,1.0
1570094009.4216583,12671,1.0
1570094125.818297,12877,1.0
1570094160.0977244,12939,1.0
1570094214.1661308,13034,1.0
1570094229.399654,13061,1.0
1570094241.1748314,13082,1.0
1570094247.8584995,13094,1.0
1570094256.3493485,13109,1.0
1570094422.6969817,13402,1.0
1570094504.208132,13546,1.0
1570094533.409052,13597,1.0
1570094546.212332,13620,1.0
1570094657.1944292,13810,1.0
1570094699.778687,13884,1.0
1570094810.4207501,14080,1.0
1570094882.3329408,14221,1.0
1570094923.2450314,14294,1.0
1570094937.3844452,14320,1.0
1570094947.973504,14338,1.0
1570094984.8751938,14397,1.0
1570095013.228029,14447,1.0
1570095118.261531,14632,1.0
1570095121.9649014,14638,1.0
1570095139.1856234,14668,1.0
1570095149.9657013,14687,1.0
1570095202.7719812,14779,1.0
1570095218.1365175,14809,1.0
1570095256.1243162,14873,1.0
1570095268.2265263,14892,1.0
1570095379.825685,15090,1.0
1570095431.1568177,15180,1.0
1570095511.6068618,15324,1.0
1570095600.7307732,15473,1.0
1570095601.8928895,15475,1.0
1570095620.460746,15507,1.0
1570095745.7602746,15740,1.0
1570095759.394638,15764,1.0
1570095951.8998866,16095,1.0
1570095963.7920759,16116,1.0
1570096038.4395397,16249,1.0
1570096079.4806435,16321,1.0
1570096129.3956344,16406,1.0
1570096292.408934,16697,1.0
1570096356.3563282,16809,1.0
1570096383.3120236,16857,1.0
1570096406.837376,16899,1.0
1570096500.978789,17066,1.0
1570096515.68926,17097,1.0
1570096599.5826485,17239,1.0
1570096629.5256424,17292,1.0
1570096643.9400837,17317,1.0
1570096656.7403638,17339,1.0
1570096774.775166,17543,1.0
1570096783.0499935,17557,1.0
1570096800.7297614,17586,1.0
1570096805.4692352,17594,1.0
1570096821.708859,17623,1.0
1570097016.5633423,17953,1.0
1570097054.6351492,18018,1.0
1570097082.4109266,18065,1.0
1570097273.2630098,18451,1.0
1570097569.9126718,18958,1.0
1570097663.6410437,19116,1.0
1570097694.387118,19169,1.0
1570097749.7316518,19271,1.0
1570097902.2809052,19531,1.0
1570097963.866063,19640,1.0
1570097972.1998966,19654,1.0
1570098020.490725,19731,1.0
1570098088.6525407,19846,1.0
1570098140.6747422,19938,1.0
1570098173.2409987,19995,1.0
1570098196.7353477,20035,1.0
1570098207.2023945,20053,1.0
1570098212.8629603,20062,1.0
1570098256.4623199,20138,1.0
1570098319.2716002,20244,1.0
1570098324.4501178,20252,1.0
1570098366.8903615,20323,1.0
1570098436.5943315,20440,1.0
1570098462.943966,20485,1.0
1570098495.208192,20539,1.0
1570098495.8842597,20540,1.0
1570098508.3225033,20562,1.0
1570098517.298401,20578,1.0
1570098632.850955,20779,1.0
1570098634.5131214,20782,1.0
1570098665.40321,20831,1.0
1570098680.9837677,20855,1.0
1570098814.2740955,21080,1.0
1570098852.5499227,21144,1.0
1570098891.0137687,21209,1.0
1570098905.185186,21232,1.0
1570098956.6653333,21319,1.0
1570098959.8176484,21324,1.0
